DATETIME,TOTAL_TX,TOTAL_FEE,AVG_TOTAL_FEE,TOTAL_COMPUTE_UNITS_USED,TOTAL_AVG_COMPUTE_UNITS_USED,TOTAL_AVG_COMPUTE_UNITS_REQUESTED,TOTAL_AVG_COMPUTE_UNITS_PROPORTION,SUCCESSFUL_TX,SUCCESSFUL_FEE,AVG_SUCCESSFUL_FEE,SUCCESSFUL_COMPUTE_UNITS_USED,AVG_SUCCESSFUL_COMPUTE_UNITS_USED,AVG_SUCCESSFUL_COMPUTE_UNITS_REQUESTED,AVG_SUCCESSFUL_COMPUTE_UNITS_PROPORTION,FAILED_TX,FAILED_FEE,AVG_FAILED_FEE,FAILED_COMPUTE_UNITS_USED,AVG_FAILED_COMPUTE_UNITS_USED,AVG_FAILED_COMPUTE_UNITS_REQUESTED,AVG_FAILED_COMPUTE_UNITS_PROPORTION,SUCCESS_RATE,TOTAL_TPS,SUCCESFUL_TPS,FAILED_TPS
2022-05-02 13:00:00,1012756,5.76316,5.6905710749999996e-06,106939195986,105592.261103,189797.11587233102,0.114050518726,607476,3.410835,5.614765028e-06,66217734649,109004.692612,192093.86469229797,0.118806973182,405280,2.352325,5.804197098e-06,40721461337,100477.352292,186354.50882002583,0.106921047923,0.599825,281.321111,168.743333,112.577778
2022-05-02 14:00:00,1020902,5.8849,5.764412255e-06,103788839117,101663.861092,189822.50687718805,0.110007038747,636599,3.582985,5.628323324e-06,63969714410,100486.671217,192287.5656072924,0.113220802397,384303,2.301915,5.989843951e-06,39819124707,103613.879431,185739.1301600516,0.104683430223,0.623565,283.583889,176.833056,106.750833
2022-05-02 15:00:00,950954,5.534235,5.819666356e-06,86011601992,90447.69988,190358.6897112456,0.101278573582,646667,3.661385,5.661932648e-06,53555542008,82817.805776,192376.17465576227,0.103613892483,304287,1.87285,6.154880097e-06,32456059984,106662.657241,186071.15545373288,0.096315582499,0.680019,264.153889,179.629722,84.524167
2022-05-02 16:00:00,1079275,6.186205,5.731815339e-06,90561107571,83909.205319,190830.52236762352,0.098534211434,734118,4.11929,5.611209642e-06,55391131386,75452.62667,192987.8530595165,0.099613683069,345157,2.066915,5.988332846e-06,35169976185,101895.590079,186242.0733636309,0.096238272029,0.680196,299.798611,203.921667,95.876944
2022-05-02 17:00:00,1048286,5.97362,5.698463969000001e-06,88468294332,84393.280395,190976.7456905584,0.098517086283,691474,3.86316,5.586847806e-06,52352211377,75711.033787,192990.2956603213,0.098425662833,356812,2.11046,5.914767441e-06,36116082955,101218.801372,187074.64191660503,0.098694257844,0.659623,291.190556,192.076111,99.114444
2022-05-02 18:00:00,1072749,6.074755,5.662792508000001e-06,91593413122,85381.960852,191026.44191330567,0.097436519127,697758,3.86483,5.538926103e-06,52630921472,75428.617761,193173.78095417508,0.09610657248,374991,2.209925,5.8932747719999995e-06,38962491650,103902.471393,187030.81803305537,0.099911194286,0.650439,297.985833,193.821667,104.164167
2022-05-02 19:00:00,1090319,6.182715,5.670556048e-06,94729911161,86882.748224,190968.05486365632,0.094671000925,741766,4.101805,5.5297829769999995e-06,57579153892,77624.417798,193204.289395702,0.093748946765,348553,2.08091,5.9701394049999995e-06,37150757269,106585.676408,186209.05768418167,0.096633251791,0.68032,302.866389,206.046111,96.820278
2022-05-02 20:00:00,1240045,6.973725,5.623767686e-06,100500313990,81045.69914,191369.7314480387,0.091059462558,878283,4.887965,5.565364467e-06,57104475497,65018.309015,193886.86634786584,0.08985107642,361762,2.08576,5.7655585719999996e-06,43395838493,119956.873561,185258.65070648806,0.093993173126,0.708267,344.456944,243.9675,100.489444
2022-05-02 21:00:00,1226262,6.865015,5.598326459e-06,102387392640,83495.527579,191251.7276904702,0.095713972939,846434,4.67108,5.518540134e-06,61118133829,72206.614844,193580.75018262543,0.096705619905,379828,2.193935,5.776127616e-06,41269258811,108652.49221,186061.57892807003,0.093504120826,0.690255,340.628333,235.120556,105.507778
2022-05-02 22:00:00,1239672,6.892125,5.559635936e-06,101068540092,81528.452762,191783.24673499318,0.093329800328,879125,4.8416,5.507294184999999e-06,61660269814,70138.22814,193923.82810618152,0.09409810504,360547,2.050525,5.6872613e-06,39408270278,109301.340125,186563.84788284363,0.091456436024,0.709159,344.353333,244.201389,100.151944
