game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,carries,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,receiving_broken_tackles
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Joshua Kelley,KellJo01,4.0,6.0,1.5,16.0,4.0,1.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Sony Michel,MichSo00,4.0,8.0,2.0,5.0,1.3,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Justin Herbert,HerbJu00,2.0,1.0,0.5,0.0,0.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Austin Ekeler,EkelAu00,14.0,18.0,1.3,21.0,1.5,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Joshua Kelley,KellJo01,4.0,6.0,1.5,16.0,4.0,1.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Sony Michel,MichSo00,4.0,8.0,2.0,5.0,1.3,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Justin Herbert,HerbJu00,2.0,1.0,0.5,0.0,0.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Austin Ekeler,EkelAu00,14.0,18.0,1.3,21.0,1.5,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Joshua Kelley,KellJo01,4.0,6.0,1.5,16.0,4.0,1.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Sony Michel,MichSo00,4.0,8.0,2.0,5.0,1.3,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Justin Herbert,HerbJu00,2.0,1.0,0.5,0.0,0.0,0.0,
