player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0031763,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,7,119.0,1,0.0,0.0,109.0,28.0,6.0,11.531668472685851,0,2.5499188311688314,0.18286445012787722,0.4698817966903073,0.603213932875031,0.0,17.9,23.9,2,0.08536585365853659,0.23191489361702128,0.09395973154362416,0.3135806953814219,0.19412724306688417,0.16666666666666666,0.2222222222222222,0.21212121212121213,0.18039695486677543,0.18863512778684066,1.451219512195122,0.10967327459618208
00-0031787,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,3,50.0,0,0.0,0.0,41.0,9.0,2.0,3.2417293849866837,0,1.2195121951219512,0.07692307692307693,0.13225806451612904,0.2079652605459057,0.0,5.0,7.0,1,0.075,0.13486842105263158,0.09278350515463918,0.22039473684210525,0.15772870662460567,0.0,0.15384615384615385,0.11764705882352941,0.07886435331230283,0.12618296529968454,1.25,0.058100929614873835
00-0031941,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,6,44.0,0,0.0,0.0,32.0,24.0,4.0,1.3513665489153937,0,3.166666666666667,0.1803143093465674,0.13153332385959926,0.3625447907215706,0.0,4.4,8.4,2,0.08450704225352113,0.060263653483992465,0.11374407582938388,0.17497148616747565,0.07166123778501629,0.0,0.14285714285714285,0.11428571428571428,0.035830618892508145,0.057328990228013035,0.6197183098591549,0.03681626928471248
00-0032054,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,-7.0,0,0.0,0.0,0.0,-2.1824002475477755,0,3,8,45.0,1,0.0,0.0,147.0,13.0,2.0,1.4353120772793413,0,0.7377049180327869,0.26262626262626265,0.4787414066631412,0.7290583786035927,0.0,9.8,12.8,2,0.13114754098360656,0.23595505617977527,0.07738095238095238,0.3854853564192301,0.11194029850746269,0.5,0.11764705882352941,0.15789473684210525,0.30597014925373134,0.18955223880597016,0.7377049180327869,0.09794918885827977
00-0032063,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,7,15.0,0,1.0,0.0,1.0,-2.6787703240988776,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007347898501028707
00-0032104,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,2,23.0,0,0.0,0.0,14.0,26.0,1.0,2.054309488099534,0,-7.666666666666667,0.054212454212454214,0.03832928279642174,0.10814917927617654,0.0,2.3000000000000003,3.3000000000000003,2,0.02631578947368421,0.024390243902439025,0.09558823529411764,0.05898587933247754,0.04204753199268738,0.0,0.03225806451612903,0.02857142857142857,0.02102376599634369,0.033638025594149905,0.3026315789473684,0.01941404871161313
00-0032128,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0,0.0,0.0,18.0,0.0,0.0,-2.0706287384964526,0,0.0,0.05555555555555555,0.06844106463878327,0.13124207858048162,0.0,0.0,0.0,1,0.05405405405405406,0.06766917293233082,0.0,0.13521641942694573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032141,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,4,19.0,0,0.0,0.0,4.0,19.0,1.0,0.2609499695827253,0,4.75,0.12903225806451613,0.013793103448275862,0.2032035595105673,0.0,1.9000000000000001,4.9,1,0.12121212121212122,0.013513513513513514,0.18446601941747573,0.19262899262899263,0.07142857142857142,0.0,0.07692307692307693,0.06666666666666667,0.03571428571428571,0.05714285714285714,0.5757575757575758,0.05662121562283337
00-0032144,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,22,105.0,0,1.0,1.0,3.0,-6.494287199340761,0,3,3,20.0,0,0.0,0.0,12.0,8.0,0.0,-0.8194035577371546,0,3.2,0.08449477351916376,0.0440477806434098,0.1575756067291325,0.0,10.5,13.5,2,0.0410958904109589,0.021778584392014518,0.026755852842809364,0.07906670313004997,0.03577817531305903,0.0,0.0,0.0,0.017889087656529516,0.028622540250447227,0.273972602739726,0.08413311728779758
00-0032200,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,-2.0,0,0.0,0.0,0.0,-3.0911792758852243,0,3,4,15.0,1,0.0,0.0,13.0,7.0,1.0,2.1808464441564865,0,1.1538461538461537,0.13333333333333333,0.04659498207885305,0.23261648745519714,0.0,7.3,10.3,1,0.13333333333333333,0.04659498207885305,0.08045977011494253,0.23727598566308244,0.07042253521126761,1.0,0.1,0.18181818181818182,0.5352112676056338,0.2563380281690141,0.5,0.16448419035451933
00-0032208,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,5.0,0.0,0.0,-0.8868623122107238,0,0.0,0.027777777777777776,0.019011406844106463,0.054974651457541185,0.0,0.0,0.0,1,0.02702702702702703,0.018796992481203006,0.0,0.05557813452550295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
